Name,ShortName
Suboccipitals,subocc
Levator scapula,levator
Splenius capitis and cervics,capcerv
Flexor policis longus,fpl
Finger flexors,fflex
Hypothenar thenar eminence,hypothen
Lumbricals palmar interosseous,lumbric
Dorasl interossei,dorsinte
Thumb extensors abductors ,epl
Finger extensors,fext
Wrist extensor,wext
Wrist flexors,wflex
Supinators,sup
Pronators,pro
Triceps brachi,tricep
Biceps brachi,bicep
Pectoralis major and minor,pecs
Anterior deltoid,antdelt
Posterior deltoid,postdelt
Supraspinatus,supra
Infraspinatus,infra
Rhomboid major and minor,rhomb
Serratus anterior,serratus
Latissimus dorsi,lats
Upper middle trapezius,uptrap
Middle lower trap,lowtrap
External interal oblique,oblique
Upper rectus abdominis,upabs
Lower rectus abdominis,low abs
Quadratus lumborum,ql
Erector spinae,erectors
Iliopsoas,hipflex
Gluteus maximus,glutmax
Gluteus medius,glutmed
Quadriceps,quad
Hamstrings,ham
Adductors,add
Gastrocnemius,gastroc
Soleus,soleus
Tibialis anterior,tibant
Extensor hallucis longus,ehl
Flexor digitorum longus brevis,fdlb
Peroneus longus,perlong
Flexor hallucis longus brevis,fhlb
Extensor digitorum longus,edl
Tibialis posterior,tibpost
